Review,Rating,Target
"The only thing 4 stars in this hotel was Gerome. Otherwise very nonplussed! Our first room was overcrowded and on the street side...too loud. I told Gerome that evening that we were very disappointed, he said he would leave a note for staff to change our room. Second room much better but still nothing to brag about. Beds very hard, pillows just okay. Bathroom is clean. They talk about an open bar it is soft drinks and a few snack items.  Gerome was only person to help overnight at the front desk. He tried very hard to be helpful to a lot of guests who had a lot of requests while I was in lobby Area.",2,1
"It first started with our arrival.  We arrived pretty early, 10:30 am so I knew we were definitely not going to get to check in, however we were hopeful.  We were told that our room was still occupied, check out time is 12:00, and that we would have the room at 2:00.  At about 1:00pm, we were told that our room was still occupied and that we would not get the room till 4:00.  At that point we were very tired from over a 24 hour international travel that we were beyond exhausted and frustrated.  The hotel allowed the current guests to stay in our room 2 hours past check out time.  Why would they do that knowing that they had the new guests waiting.  They did finally give us a very very tiny temporary room for 3 adults and my baby for us to wait in for 1-2 hours.  They originally",2,1
"There is NO air conditioning in the rooms, so this means it's horribly hot !! This is very uncomfortable and hot.   To make matters even worse the beds are 2 single beds pushed together,  they keep moving apart during the night.   I had to open the window for airflow and the road noise was soo loud , cars people etc kept me wake until 2am. (If you get a road facing room it's game over).   I didn't sleep well , this affected my daytime activity.   There is no headboard and the doors SLAM constantly because they have automatic door closers (instead of soft close). This is NOT a minor issue it wakes you up past midnight as some guests are out late.   AVOID.   AVOID.",1,1
One of the rare occasions I have been let down by Trip Advisor. I am reviewing this realisticaly as a 3 star hotel. The longer I stayed the lower the rating went. It has some major failings that dictate a zero star rating.  Cigarette smoke is coming into the room via the airconditioning system. Easy to test as you can turn off the airconditioning to the room and voila no smoke smell. This alone is sufficent for a zero rating.  The room doors close with great force. They do not bang loudly but close with so much force that a wave of low intensity noise rolls across the flloor. If their are some late returning inconsiderate guests then you will not sleep until the last one returns.  The rooms are not soundproofed as claimed. The windows are double glazed but it is thermal glazing.,1,1
"I don’t know why this hotel is rated so high on TripAdvisor.  The only good thing about this hotel is its location. It’s close to many nice restaurants, and it’s close to two different metro stations but that’s not really a plus in Paris. Most hotels are located within 5-10 min walk of a metro station.   The facilities are pretty mediocre compared to similarly priced hotels. There are no central air ducts so the rooms are pretty stuffy even during winter. We resorted to opening the windows but our room happened to be next to an outdoor glass elevator so people riding the elevator could literally look into your room, not to mention the noisy sounds from the elevator throughout the night.  Housekeeping also never refilled our shampoo and other toiletries.  But the truly bad thing",1,1
"We arrived around noon and while checking in we discovered that unfortunately the hotel suffered from the gas line explosion in Paris and has no hot water. They were out of hot water a few days prior to our arrival but made no effort to notify us in advance. They suggested we either stay and shower at a nearby hotel or move to another hotel. When we insisted on a hotel that has equivalent or higher rating, they literally yelled at us and said that we can leave if we don’t like what they are offering. Since the hotel manager assured us that hot water will be available the next day and we were traveling with two kids that were hungry and tired, we desided we will stay at the hotel. I must add that the hotel IS very nice, clean and modern. The rooms are specious and the amenities",2,1
"The hotel is in a good location regarding restaurants and the Louvre is within walking distance. The room has no drawers for your clothes, just a couple of shelves. The room was incredibly small. It was nice to have a beverage available in the room. The breakfast was good. I had a problem of smokers who smoke came through the vent, causing irritation to my throat and nose, making me cough. I went downstairs and all he says “it’s a nonsmoking hotel”. People apparently didn’t want to go outside to smoke. Also, do not disturb is not honored.she came in my room twice in spite of the sign on door.",2,1
If you are American some of the front desk personnel are very rude to us except for one or two. Mostly everywhere you visit in Paris people are rude to Americans. Try a different country. The rooms are very small but they look big on picture. The only plus is the free snack and the 8 dollar breakfast,1,1
"Be aware that they turn off the AC during the colder season (Fall-Winter) so its only warm air or no ventilation at all bec its at centralized system, this is what they say at least it maybe a lie. Anyway, your only option to get cool air coming in is opening your window. However, it’s very loud outside bec of traffic, sirens wailing, etc. so good luck sleeping at night. You can compromise I guess by purchasing ear plugs but you really shouldn’t. The least they could provide are ear plugs but they won’t. So when the room is vacated during the day and all the window are closed, it goes up to 26C or 78.8F (they said it themselves when I pressed on the question). AC or heating should be based on each rooms and the guests preference, NOT one size fits all type. If I’d known this",2,1
"After such great reviews I guess we had high expectations, however these were unmet and we departed early. Small quarters humid and uncomfortable in warmer and wet weather. Breakfast was sufficient however we decided we preferred to eat in bakeries/cafes for that Parisienne feel.",2,1
"I was packing in a hurry and I mistakenly took my leftover British Pounds from the safe box and put them in my backpack before leaving the luggage with the hotel - a total of 2 large suitcases and 2 business style backpacks. We returned 3 hours later, again in a hurry, took the luggage and left with a cab. Upon our arrival in another city around 23:00, I checked the contents of my bag and I found out all of my approximately 600 GBP and some other small money is missing. I immediately called the hotel, the guy said he can't do anything and they have no cameras. He said he will speak to the manager and call me in the morning. I didn't get a call in the morning so I called after lunch. Spoke to a woman (manager) who was ""just about to call me"" and she accused me of lying, stating",1,1
"This review was tough to write, because on first glance, the room is exquisite. We upgraded to a superior double and were given a corner room facing the street. We had a beautiful balcony, three giant floor to ceiling windows and loved spending time on our balcony just people watching and enjoying a glass of wine. The bed was comfortable and the room was spacious and clean (upon first glance). The bathroom was nice but because there was only a half a door on the shower, a lot of water got onto the floor. The free mini bar was awesome and the breakfast was absolutely delicious (try the potatoes, they are amazing)! Now, all of this was great but there was one big problem. There were so many moths it was disgusting. At first, we thought they had come in when we had one of the",2,1
"Because of the jet lag, I was awake from 3 am Paris time, but there is no kettle or any facility to get any water in the room. So I went to the breakfast area at around 6:45. Seeing that there is some juice available in the breakfast area and I am really thirsty, I help my self to a glass of orange juice and sit in the breakfast area to await the breakfast opening at 7 am. Then an african french waitress who is getting food out of the kitchen shouted to me far away that the breakfast is only open at 7 am. treating me as if I am a criminal. The hotel should provide some kettle in the room so that I could at least have some warm water to drink in such a cold winter day.Disappointed with the service and will  not return.",1,1
The trip to Paris was a dream for us.Everything was good with the services of the hotel until 10 minutes before we go.We put our bag in the living room of the hotel and we went to  reception to take our suitcases.During this time  our bag was stolen .We searched everywhere and we asked to see the footage from the surveillance cameras of the hotel in order to see if the thief was one of the staff or another person.They told us that the hotel doesn't have any cameras at all .At the same time our taxi was waiting outside and we couldn't do anything more because we were going to miss our flight so we left without our bag.During our way to the airport we called the intendancy of the hotel and they were very offensive.They denied that the situation really happened in the hotel.Our,2,1
"This could be a great hotel, and much of customer service was quite good, BUT the incidents where customer service was lacking really impacted my experience. To make your stay better than mine, here is some advice: be sure that your room is not on the 6th floor. The elevator ends on the 5th floor. To reach the 6th floor you have to carry your luggage up a narrow, iron stairway. We had no idea about this when we booked our room. Additionally, it would have been nice (and professional) if the hotel had arranged to deposit our luggage upstairs when our room became available, or offered to have someone help with our luggage when we checked in.  Next, the hotel offers a car service to the airport with the option to pay by credit card. I arranged for a car, and checked about the",2,1
I am not sure why their are so many good reviews for this hotel.  My husband and I just finished staying here for 4 nights and we were not impressed with this hotel at all. The rooms are very small and yes this is Paris but I have been to Paris 3 times and stayed in much better hotels than this one.  The included breakfast is terrible.  They serve scrambled eggs in the morning which had an awful slimy texture.  I noticed them filling up the eggs one morning from a plastic box that they had microwaved.  These are not fresh made scrambled eggs which you would expect in Paris but premade eggs shipped to the hotel already done.  The pastries all tasted at least 1-2 days old.  Not what you expect from Paris.  The fruit salad in the morning was not edible.  It also came premade and,2,1
"Currently staying at hotel 34b for four nights during our stay at Paris.   Unclear as to how its possible this hotel has such good reviews on trip advisor. The front desk was minimally helpful with any suggestions that were asked. Noise level ridiculous at night. Our room was facing the street and the street is popular for going out. ""Breakfast"" and ""happy hour"" free but barebones. Do not expect additional services or anyone to go above and beyond in anyway.  The pros were the price (we upgraded to the superior room) and location is somewhat central. Wifi available in the rooms. Overall would not recommend or plan on returning.",2,1
"Checked in on the 21st and prior to check out on the 25th, found HKD 2000 missing.   0930hr 25 June 2016 Reported loss at reception. Was asked repeatedly, ""Are you sure? Are you very sure?"". Was 100% certain. Was then informed by the receptionist that she will ""investigate"" and come back to me. Was asked to return to my room and ""wait for her call"".  1000hr 25 June 2016 Received call in room, that they was nothing they could do for me and I was asked to make a police report. Promptly went down to the reception again to get the details of those who had entered my room for the past few days to supplement the police report. Was told that such a list cannot be given as it could be ""anyone, her (the receptionist), her colleague (points at fellow receptionist), chambermaid, or person",1,1
We were here for 4 nights. We couldn't sleep for 3 of the nights due to a broken air con. Day one we noticed the air con wasn't working in the room. Early next morning we mentioned to the front desk. The guy said the air con was broken and not sure when the technician was coming in to fix it. Day two afternoon we asked the front desk if the air con was fixed because it's hot in the room. The response was that it was normal temperature in Europe so no air con needed and so we figured maybe this hotel doesn't have cooling air con. It was difficult to sleep at night because there's no air flow and opening the windows exposed us to the noise on the street. So day three we asked whether they could at least configure the air con to deliver some air flow. At first the guy on the front,2,1
"The Hotel is clean but definitely it is not a 4-star hotel! We booked a superior double room. The room we got was at 6th floor and elevator goes only up to 5th floor and you must use stairs for coming to 6th floor! One of days the elevator was also not working too! The room was right under roof and a part of the room was not useable due lack of space between floor&roof (it was less than 160cm). The shower and WC was in two separate rooms and after using WC you must go from WC to ""living-room"" for coming to shower for washing your hands! This is not so pleasant for going from WC with not washed hands.  The expresso machine in the room was also broken and of course they fixed it after I notice hotel staff.  The breakfast was really poor and not suitable a 4-star hotel! All in all",2,1
"Hotel Bradford may not be the hotel for you , tried to cancel my reservation due to the fact that my week end trip to Paris included a trip to Fontainebleau , Railroad transport on week ends currently non existent south of Paris . Bradford needs to re- evaluate cancellation policies in the time space of problems created by outside circumstances . When we booked this , no mention by the hotel that there might be a strike in December ..Not a good business policy, since the management was aware this was a possible pending situation ,,, Deception",1,1
Horrible experience. Do not go here.  It was warm in Paris 70s but they turn off A/C in the fall. This forced us to open windows and on FRIDAY NIGHTS the British Bar across the street parties until 6AM.  Loud and uncomfortable.,1,1
"We went to different Astotels already: once to Joyce, once to Palm opera, three times to 123 Elysees, and this was our second time in Bradford Elysees. We know the hotels very well and were always very happy about our stay (rooms, breakfast, service,...). This time, we weren't happy at all with our stay in Bradford Elysees. We booked a double room, and received a confirmation e-mail clearly stating we booked a double room indeed... So far so good... However, during the booking, something went wrong, and the hotel thought we would come with 1 person only instead of 2, so the hotel decided to give us a single room (again, even though the mail clearly states we booked a double room). We arrived in the hotelroom and the room was very small for 2 people (it was room 17, the smallest",1,1
"Advertised as a 4 star hotel and at close to 400euros per night, unfortunately I didn’t think this hotel delivered as much. Basic things, the shower didn’t drain and despite reporting it 3 times nothing was done. The bathroom didn’t have any fan or opening window. I also had a bad personal experience of losing my laptop the last day I was there. It was a customized new MacBook Pro and apart from its cost, I had many important data on it. The hotel staff did as little as possible to help me find my laptop. I asked them to check their CCTV to see if I had the laptop with me when I left the hotel and this was less than a week after I had checked out. They told me they only keep the CCTV records for 24 hours!! This is to me a lie that defy the purpose of having a CCTV. I can",2,1
"We booked this hotel months ago based on reviews and pictures.  Once we made the reservation we requested adjoining rooms or rooms next to each other because we were traveling with our daughters. I also sent a follow up email requesting the same, but when we arrived we found out the room category we reserved does not have adjoining rooms.  I don't understand why that was not explained to us once we made the reservation. The only response we received via email to our requests was that they would do their best to accommodate, but never mentioned it was not a possibility. My husband had also sent an email to them requesting flowers be put in the room to celebrate my 50th birthday and our 20th wedding anniversary but it was not done.  They said they did not get the email in time",2,1
"I stayed on this hotel for Easter weekend with my girlfriend , we booked through Short Breaks and were told that is very nice hotel but it turned out that wasn't the case The hotel it self was average definitely not 4* , not worth the money I paid for The staff weren't helpful from the reception to the restaurant  Me and my girlfriend forgot about the time change and went 10 min late for breakfast which we had paid for it and the waiter refused to serve us , we made our way to the front desk to advice us with some other places as we didn't know the area , his response was anywhere you can find  We left very disappointed   That place it wasn't worth anything",1,1
"great position, nice rooms, if a little tired. good breakfast,  though second morning spoilt  by incessant fire alarm. poor approach to the asking of feedback on here has lead to a tainted visit and a poor review. Will be in two minds about returning. this is a shame.",2,1
"the front desk staff was helpful and accomadating. The location is ideal. However, there was construction and someone, housekeeping or construction, entered our room to steal. It's strange because they took petty items and went through our bags. My husband's umbrella was taken, and my headphones. We had a lot of cash and two IPads along with a few other items that were not touched. Unfortunately, the manager totally disregarded our complaint and refused to talk or meet. The front desk tried to help by asking the housekeeper if she remembered  the headphones, etc. but she said no. My husband's headphone set was visible, which the housekeeper said she saw but didn't touch...not as nice as my set.  Basically, unacceptable to enter guest rooms, go through their bags, steal, and",2,1
"Very small rooms. The hotel reeks of wood paint smell. The lift is scary  and only reaches to the 5th floor.  The breakfast area is also very small and always full.   The bathroom is missing some essentials like toothbrush, shaving blade.  When i asked for a travelers adapter. The receptionist told me "" come and get it from the reception""",2,1
Stayed for a quick one night business trip.  Having asked for a high up quiet roo hi rat room I was allocated was on the ground floor at pavement level. I asked to change and staff quickly moved me . The room was what I call functional. Furnishings felt cheap and bathroom was smallest I have ever been in -impossible to turn the shower on without leaning fully under it . The hotel is a conversation in an old apartment block and accordingly lots of noise from overhead rooms and in corridors . Some nice touches like free non-alcoholic drinks in the room.  A sheek and slightly funky feel to the lounge and dining room downstairs and the staff were very pleasant and helpful -not always the way in Paris. So an ok place in a good location .,2,1
"Really disappointed hotel and an awful high price.I stayed 3night at this hotel with my Gf in Feb 2014 ( valentines day ).we were really surprise for first time visit of Paris by this hotel!!! First of all, I have to say, the rudest reception I'v ever seen in the whole world in 4 star hotel.staff are very rude and inattentive, I have arrived in the hotel at 12 o' clock and I asked them if possible could you help me to give us our room earlier, and no body answer me.after many time request, they told us Never ever because our rooms are full!!!!!!! ( but empty ) and they can do it but I don't know why!!!! I lost my apple Ipad at this hotel but I never found it, and many time, I'v called the hotel but the one answer always receive was NO!! The room temperature was cold, size of",2,1
"I booked this hotel through Hotels.com for from 3/28/14 through 4/7/14. First of all, I can say that by far this is not a 4 star hotel. Very understaffed, dirty, and even though they claimed hotel being non smoking, my room had unbearable cigarette smoke and burned cigarette butts by the window. It looked like no one even bothered property clean the room. Carpets were dirty, service was very poor. I was locked at the rate through Hotels.com but hotel charged me an extra 750 EU upon my departure claiming they rollaway bed was not fee, even though on the website and at the time of my booking it was clearly stating that there was NO CHARGE for it. The older man at the front desk literally was trying to block me from getting to my taxi, because I refused to sign my card for extra",1,1
"Everything in this hotel is fake,  no nice and big rooms like they promised when I made the reservation, in addition, room was dirty and when I was asking to change, nobody wants to help me!  Nobody replace the minibar, that was even more dirty than the room during my 3 days stay. Breakfast is a joke... buffet? Absolutely fake! One guy, I supposed he must be the service, expend all of his time to chat with spanish guests while we were waiting to been served. Nothing to eat, no croissants, no toast... because they have ""a problem with the stock and the delivery"", one more time, when I was asking for help at reception, a receptionist called Victoria just ignored me and told me that breakfast is not her business!!! On the last day, I requested to speak with the manager but she",1,1
"On arriving at the hotel on the 22 Sept we requested a porter to assist with the luggage  I had my sickly mother and a child with me. Was told they do not offer this service even though their customer service brochure in the rooms says that they do. Also, noticed a porter assisting visitors with their bags. Hotel rooms were not cleaned just beds made up until I complained. 2nd last day my mum was in the room while it was being cleaned and she noticed that the drinking glasses were washed in the bathroom and dried with the bath sheets on the floor which we used. Handed my laundry in on Saturday morning and was promised to have it by 20:00 latest 21:00. It is now Sunday 16:30 and have not received laundry back. I am flying to South Africa tonight and am told by the hotel personnel",1,1
"We stayed in this hotel for 3 nights in June 2013. We were a couple and a 2 years old child. We had booked it through a travel agent and everything was paid for before hand. We reached the hotel around 1pm and were told that the check in time is 2pm and the room would be ready by 2. We agreed to wait for an hour but the room wasn't ready by even 3pm. The reason they gave us for the delay was that the baby bed is taking time to be ready. Only after we protested a bit, we were given a room that too without a baby bed, which was put later on.......in spite of the fact that we had already booked and paid for the room. We got a room on the first floor.The room was very small and very noisy from 6am. The wi fi is not very good. The speed is very slow and the network is inconsistent.",2,1
"I have been staying in Bradford Hotel for the last three days (still here and connecting to internet thru my AT&T). They claim to have a free high speed internet connection, which is the Basic Business package. This package sees 50KB/s max which is like an edge connection. You are lucky if you get your connection up for 5 minutes; dns fails all the time.   Anyway, I got fed up and bought the paid business package which is 17Eu per day. And my speed went up to 100KB/s which is like a joke. Just to browse web pages takes ages, how am I supposed to send out and get emails. Also the connection (not the wi-fi connection) drops every 5 minutes so you have to switch off your wi-fi and then again on to initiate your connection. Yesterday I had no connection at all. I tried all my",2,1
"Booking this hotel was the worst decision ever made and has definitely spoilt our first 2 nights in Paris.   Upon arrival, we were informed by front desk that our booking for which full payment was made in advance cannot be found. Was asked to make a fresh booking and of course make payment again for the room. We objected to it as we have already made full payment in advance and requested the front desk to check again. But we were taken aback when the front desk rudely shouted at us to sit at the side and that she doesn't want to talk to us. Finally the front desk managed to find our booking and checked in for us with no apology offered for the blunder of not being able to find our booking and the shouting episode earlier. This is totally unacceptable of any hotel in any part of",1,1
"We stayed from Saturday March 30th till Monday April 1st (Easter weekend). The hotel is ok. I have had better, I have had worse hotels in Paris. Breakfast was terrible on Sunday morning (no space, dirty tables, no food, no staff,  etc etc), but it was very nice on Monday morning. That says it all.  We stayed in room 21 and 25. The rooms were rather hot, but because off the weather that was no problem....  The big issue are the vehicles slowly passing the hotel between 02.00 en 04.00 o’clock in the night  that are blaring deafening music. The air can literally shake. Because they are creating traffic jams, there is also a lot off honking and shouting. The first night we were joking about Easter Races (it is a tradition in Holland during the Easter Holidays during the day). So at",1,1
